Year,Production,Area,Yield,Rainfall,IrrigatedArea,source_pdf
2017,44.09,9.93,4674.0,1119.0,6.93,Year.pdf
2018,53.14,11.99,4664.0,988.0,7.55,Year.pdf
2019,61.27,12.48,4910.0,1135.0,7.78,Year.pdf
